iter	Passed	Remaining
0	11	11104
1	20	10383
2	30	10119
3	39	9846
4	48	9746
5	58	9709
6	68	9664
7	78	9674
8	88	9778
9	98	9789
10	109	9827
11	120	9889
12	131	9996
13	142	10048
14	152	10031
15	162	10020
16	172	10002
17	182	9960
18	191	9912
19	201	9868
20	210	9836
21	221	9834
22	224	9556
23	233	9500
24	241	9435
25	251	9419
26	260	9403
27	269	9346
28	278	9320
29	286	9274
30	295	9245
31	305	9229
32	315	9235
33	324	9229
34	333	9205
35	342	9159
36	350	9123
37	358	9081
38	367	9047
39	376	9025
40	384	8999
41	392	8963
42	401	8929
43	410	8919
44	418	8886
45	427	8861
46	436	8845
47	445	8831
48	454	8811
49	462	8792
50	471	8765
51	479	8746
52	488	8726
53	497	8720
54	506	8705
55	515	8692
56	524	8676
57	532	8656
58	541	8629
59	549	8609
60	559	8612
61	569	8621
62	580	8632
63	589	8628
64	598	8616
65	608	8610
66	618	8608
67	627	8598
68	636	8594
69	645	8576
70	654	8560
71	662	8540
72	672	8535
73	680	8513
74	689	8500
75	697	8482
76	707	8476
77	716	8473
78	726	8472
79	736	8466
80	746	8470
81	756	8472
82	767	8477
83	777	8474
84	786	8461
85	796	8461
86	806	8467
87	816	8466
88	826	8463
89	836	8458
90	846	8452
91	855	8443
92	865	8440
93	875	8439
94	886	8445
95	897	8454
96	909	8469
97	921	8478
98	932	8483
99	943	8489
100	954	8493
101	965	8496
102	976	8500
103	986	8503
104	998	8510
105	1009	8514
106	1020	8517
107	1031	8519
108	1042	8518
109	1052	8513
110	1062	8507
111	1071	8494
112	1080	8482
113	1089	8464
114	1098	8454
115	1107	8437
116	1115	8420
117	1124	8402
118	1133	8388
119	1141	8370
120	1150	8355
121	1158	8337
122	1167	8322
123	1175	8303
124	1183	8287
125	1192	8274
126	1202	8264
127	1211	8255
128	1221	8249
129	1231	8244
130	1241	8235
131	1250	8221
132	1259	8211
133	1268	8197
134	1277	8187
135	1287	8177
136	1297	8173
137	1306	8160
138	1316	8153
139	1326	8147
140	1335	8137
141	1345	8129
142	1355	8123
143	1365	8118
144	1375	8110
145	1384	8098
146	1393	8085
147	1403	8080
148	1412	8066
149	1421	8054
150	1430	8042
151	1439	8028
152	1448	8016
153	1458	8010
154	1466	7996
155	1475	7982
156	1484	7968
157	1494	7963
158	1503	7952
159	1512	7940
160	1521	7927
161	1530	7919
162	1539	7906
163	1549	7898
164	1559	7890
165	1568	7881
166	1579	7880
167	1589	7873
168	1600	7870
169	1611	7865
170	1620	7856
171	1630	7851
172	1640	7842
173	1650	7835
174	1661	7830
175	1670	7822
176	1680	7815
177	1690	7808
178	1700	7799
179	1710	7794
180	1721	7789
181	1731	7782
182	1742	7779
183	1752	7772
184	1763	7767
185	1772	7758
186	1782	7750
187	1793	7745
188	1803	7739
189	1814	7733
190	1823	7724
191	1833	7716
192	1843	7709
193	1853	7700
194	1863	7692
195	1873	7684
196	1884	7679
197	1893	7670
198	1903	7663
199	1913	7652
200	1923	7644
201	1933	7638
202	1943	7631
203	1953	7623
204	1963	7614
205	1973	7606
206	1983	7599
207	1994	7592
208	2003	7583
209	2012	7571
210	2022	7561
211	2030	7547
212	2039	7536
213	2047	7522
214	2056	7507
215	2064	7493
216	2073	7480
217	2081	7467
218	2091	7457
219	2101	7450
220	2110	7440
221	2121	7433
222	2131	7425
223	2140	7416
224	2152	7413
225	2163	7410
226	2175	7408
227	2187	7405
228	2198	7401
229	2209	7397
230	2220	7392
